ID,Survey,S,Survey_2,S_2,Dist
30656,2013,281.067,2014,281.505,0.438
30695,2013,226.908,2014,280.441,53.533
84812,2013,397.72,2014,397.941,0.221
84818,2013,43.19,2014,43.533,0.343
84820,2013,413.425,2014,420.409,6.984
84821,2013,391.038,2014,419.483,28.445
84822,2013,487.464,2014,487.235,0
84826,2013,283.814,2014,282.919,0
84827,2013,279.394,2014,278.417,0
84828,2013,192.345,2014,220.484,28.139
84831,2013,363.924,2014,363.969,0.045
84833,2013,78.822,2014,79.072,0.25
84835,2013,206.481,2014,206.251,0
84836,2013,287.386,2014,287.249,0
84842,2013,289.758,2014,289.325,0
84844,2013,395.608,2014,396.127,0.519
84847,2013,208.033,2014,209.548,1.515
84848,2013,263.172,2014,271.117,7.945
84849,2013,186.929,2014,187.017,0.088
84854,2013,228.486,2014,228.117,0
84860,2013,458.172,2014,482.063,23.891
84861,2013,480.431,2014,480.54,0.109
84862,2013,486.584,2014,490.327,3.743
84864,2013,239.341,2014,278.726,39.385
84867,2013,210.8,2014,210.33,0
84870,2013,187.144,2014,189.086,1.942
84872,2013,349.009,2014,397.873,48.864
84873,2013,227.601,2014,317.259,89.658
84874,2013,289.625,2014,289.325,0
84880,2013,223.204,2014,230.921,7.717
84881,2013,367.834,2014,368.65,0.816
84884,2013,220.064,2014,218.506,0
84885,2013,109.795,2014,132.754,22.959
84893,2013,357.802,2014,357.284,0
84894,2013,224.379,2014,284.369,59.99
84897,2013,176.299,2014,176.436,0.137
84898,2013,192.03,2014,192.769,0.739
84901,2013,400.928,2014,503.909,102.981
84902,2013,327.915,2014,378.464,50.549
84904,2013,223.669,2014,223.387,0
84905,2013,287.669,2014,287.649,0
84908,2013,217.807,2014,217.352,0
84911,2013,333.874,2014,371.138,37.264
84912,2013,185.226,2014,190.337,5.111
84913,2013,205.723,2014,206.721,0.998
84915,2013,378.097,2014,378.291,0.194
84916,2013,270.393,2014,280.646,10.253
84917,2013,46.523,2014,214.377,167.854
84920,2013,219.11,2014,218.506,0
84921,2013,419.946,2014,418.475,0
84922,2013,188.205,2014,188.254,0.049
84924,2013,225.54,2014,225.725,0.185
84925,2013,221.238,2014,220.863,0
84926,2013,489.847,2014,488.845,0
84927,2013,254.34,2014,275.674,21.334
84928,2013,178.165,2014,178.049,0
84930,2013,28.783,2014,28.943,0.16
84931,2013,181.062,2014,181.432,0.37
84932,2013,187.88,2014,188.157,0.277
84934,2013,149.37,2014,189.373,40.003
84935,2013,280.158,2014,280.398,0.24
84936,2013,280.331,2014,280.285,0
84942,2013,222.759,2014,223.021,0.262
84945,2013,429.394,2014,488.466,59.072
84946,2013,464.052,2014,473.989,9.937
84947,2013,47.8,2014,48.518,0.718
84948,2013,187.88,2014,188.157,0.277
84951,2013,192.597,2014,191.747,0
84955,2013,232.28,2014,241.604,9.324
84956,2013,389.977,2014,388.815,0
84958,2013,210.46,2014,214.632,4.172
84959,2013,33.584,2014,75.404,41.82
84962,2013,186.773,2014,186.954,0.181
84963,2013,319.818,2014,381.154,61.336
84964,2013,225.332,2014,225.195,0
84966,2013,200.775,2014,201.711,0.936
84967,2013,188.071,2014,188.29,0.219
84970,2013,140.51,2014,141.768,1.258
84971,2013,197.181,2014,197.887,0.706
84972,2013,531.102,2014,723.95,192.848
84974,2013,453.967,2014,526.112,72.145
84975,2013,203.094,2014,290.431,87.337
84980,2013,176.606,2014,181.126,4.52
84984,2013,413.726,2014,412.861,0
84985,2013,26.282,2014,83.284,57.002
84987,2013,399.392,2014,399.079,0
84988,2013,208.093,2014,207.261,0
84991,2013,280.689,2014,280.441,0
