ID,Survey,S,Survey_2,S_2,Dist
30695,2011,227.004,2012,227.016,0.012
84812,2011,397.941,2012,398.832,0.891
84820,2011,375.173,2012,374.772,0
84821,2011,390.355,2012,391.72,1.365
84822,2011,487.924,2012,487.87,0
84823,2011,352.622,2012,351.569,0
84826,2011,283.85,2012,283.914,0.064
84827,2011,279.209,2012,279.085,0
84828,2011,190.291,2012,189.419,0
84831,2011,363.588,2012,364.532,0.944
84833,2011,78.889,2012,79.473,0.584
84835,2011,206.361,2012,206.251,0
84836,2011,287.337,2012,287.503,0.166
84842,2011,289.669,2012,289.614,0
84844,2011,395.573,2012,396.092,0.519
84847,2011,209.708,2012,210.009,0.301
84848,2011,252.306,2012,252.321,0.015
84849,2011,187.055,2012,186.266,0
84854,2011,227.859,2012,227.883,0.024
84860,2011,457.03,2012,457.887,0.857
84861,2011,480.785,2012,480.649,0
84862,2011,485.884,2012,486.259,0.375
84864,2011,212.92,2012,213.424,0.504
84866,2011,211.908,2012,212.177,0.269
84867,2011,210.22,2012,209.678,0
84870,2011,187.043,2012,187.03,0
84871,2011,541.09,2012,541.766,0.676
84872,2011,328.626,2012,328.752,0.126
84873,2011,228.326,2012,227.933,0
84874,2011,289.725,2012,289.581,0
84880,2011,218.875,2012,218.924,0.049
84881,2011,336.407,2012,335.695,0
84882,2011,211.679,2012,212.732,1.053
84884,2011,218.875,2012,218.7,0
84885,2011,104.625,2012,105.344,0.719
84890,2011,678.472,2012,678.264,0
84891,2011,287.318,2012,287.61,0.292
84892,2011,205.166,2012,204.661,0
84893,2011,357.563,2012,357.241,0
84894,2011,224.189,2012,224.312,0.123
84897,2011,176.368,2012,176.214,0
84898,2011,192.597,2012,191.81,0
84900,2011,218.875,2012,218.905,0.03
84901,2011,392.936,2012,393.218,0.282
84902,2011,324.997,2012,324.935,0
84903,2011,62.742,2012,62.573,0
84904,2011,224.156,2012,223.604,0
84905,2011,287.318,2012,287.571,0.253
84908,2011,218.875,2012,217.158,0
84910,2011,221.309,2012,221.473,0.164
84911,2011,322.156,2012,322.059,0
84912,2011,184.806,2012,184.596,0
84913,2011,206.181,2012,206.261,0.08
84915,2011,378.917,2012,378.075,0
84916,2011,270.213,2012,270.262,0.049
84917,2011,46.053,2012,46.751,0.698
84920,2011,218.875,2012,218.156,0
84921,2011,419.319,2012,418.556,0
84922,2011,188.314,2012,188.193,0
84924,2011,225.459,2012,225.448,0
84925,2011,220.334,2012,220.953,0.619
84926,2011,489.17,2012,488.764,0
84927,2011,254.111,2012,254.007,0
84928,2011,177.748,2012,177.833,0.085
84930,2011,28.737,2012,29.058,0.321
84931,2011,181.047,2012,180.951,0
84932,2011,187.5,2012,187.855,0.355
84934,2011,148.954,2012,148.881,0
84935,2011,280.158,2012,280.158,0
84936,2011,279.73,2012,279.325,0
84937,2011,536.037,2012,536.523,0.486
84942,2011,223.409,2012,223.474,0.065
84945,2011,429.427,2012,429.262,0
84946,2011,434.497,2012,434.682,0.185
84947,2011,48.694,2012,48.22,0
84948,2011,188.071,2012,187.639,0
84951,2011,192.586,2012,192.991,0.405
84955,2011,232.794,2012,232.609,0
84956,2011,390.319,2012,389.833,0
84957,2011,351.27,2012,350.335,0
84958,2011,204.393,2012,204.156,0
84959,2011,33.526,2012,33.439,0
84960,2011,660.979,2012,661.198,0.219
84961,2011,491.489,2012,491.727,0.238
84962,2011,186.76,2012,185.613,0
84963,2011,316.22,2012,316.749,0.529
84964,2011,224.569,2012,225.274,0.705
84965,2011,212.454,2012,212.355,0
84966,2011,201.711,2012,200.958,0
84967,2011,187.982,2012,188.033,0.051
84968,2011,226.717,2012,225.195,0
84969,2011,286.256,2012,285.075,0
84970,2011,138.679,2012,139.617,0.938
84971,2011,198.066,2012,197.699,0
84972,2011,530.353,2012,530.838,0.485
84973,2011,280.776,2012,280.851,0.075
84974,2011,428.102,2012,428.665,0.563
84975,2011,202.244,2012,202.645,0.401
84977,2011,286.766,2012,285.075,0
84979,2011,277.259,2012,277.312,0.053
84980,2011,174.919,2012,174.884,0
84981,2011,221.881,2012,222.046,0.165
84982,2011,206.961,2012,206.751,0
84984,2011,412.59,2012,412.528,0
84985,2011,25.409,2012,25.482,0.073
84986,2011,459.435,2012,459.802,0.367
84987,2011,399.409,2012,398.684,0
84988,2011,193.112,2012,192.334,0
84991,2011,280.743,2012,280.689,0
84992,2011,257.164,2012,259.262,2.098
84993,2011,730.609,2012,730.908,0.299
84996,2011,63.265,2012,63.602,0.337
84997,2011,103.581,2012,103.735,0.154
84999,2011,398.618,2012,398.178,0
85000,2011,629.707,2012,630.442,0.735
85001,2011,285.164,2012,285.37,0.206
85003,2011,221.503,2012,221.401,0
85005,2011,254.325,2012,254.509,0.184
85007,2011,477.289,2012,477.876,0.587
85008,2011,23.437,2012,23.43,0
85009,2011,31.879,2012,32.104,0.225
85011,2011,288.031,2012,287.269,0
85012,2011,226.717,2012,226.337,0
85013,2011,7.23,2012,7.287,0.057
85014,2011,468.996,2012,468.368,0
85015,2011,637.512,2012,636.602,0
85017,2011,222.161,2012,222.517,0.356
85019,2011,508.297,2012,509.116,0.819
85020,2011,214.71,2012,214.837,0.127
