ID,Survey,S,Survey_2,S_2,Dist
85623,2008,2.617,2009,2.468,0
85695,2008,3.078,2009,2.97,0
85750,2008,2.823,2009,2.65,0
85620,2008,2.551,2009,2.31,0
85745,2008,2.746,2009,2.534,0
85647,2008,2.625,2009,2.418,0
85578,2008,2.26,2009,2.153,0
85630,2008,1.887,2009,1.772,0
85708,2008,2.02,2009,1.817,0
85613,2008,1.548,2009,1.404,0
85603,2008,0.604,2009,0.721,0.117
85550,2008,1.351,2009,1.351,0
85553,2008,1.189,2009,1.225,0.036
85616,2008,1.467,2009,1.324,0
85543,2008,2.285,2009,1.979,0
85649,2008,3.094,2009,3.032,0
84934,2008,4.34,2009,4.23,0
84947,2008,3.819,2009,3.732,0
84922,2008,3.41,2009,3.333,0
85639,2008,3.971,2009,3.711,0
85694,2008,4.908,2009,4.928,0.02
85704,2008,4.594,2009,4.511,0
85717,2008,3.537,2009,3.41,0
84930,2008,4.868,2009,4.717,0
85064,2008,4.786,2009,4.676,0
84936,2008,4.608,2009,4.491,0
85752,2008,4.408,2009,4.347,0
85007,2008,5.7,2009,5.488,0
85046,2008,5.988,2009,5.784,0
85067,2008,6.349,2009,6.249,0
85008,2008,7.26,2009,7.13,0
85009,2008,7.533,2009,7.378,0
85013,2008,7.099,2009,6.981,0
84977,2008,6.437,2009,6.406,0
84908,2008,6.769,2009,6.738,0
85068,2008,6.863,2009,6.838,0
84961,2008,6.694,2009,6.719,0.025
85722,2008,5.835,2009,5.841,0.006
84891,2008,5.931,2009,5.918,0
84885,2008,5.383,2009,5.034,0
84903,2008,4.928,2009,4.518,0
85665,2008,7.874,2009,7.787,0
85737,2008,8.222,2009,8.085,0
85498,2008,8.846,2009,8.632,0
85484,2008,8.739,2009,21.484,12.745
85493,2008,8.783,2009,8.758,0
85526,2008,9.497,2009,9.433,0
85509,2008,9.663,2009,9.465,0
85264,2008,9.99,2009,23.19,13.2
85533,2008,10.035,2009,10.243,0.208
85314,2008,10.432,2009,10.354,0
85376,2008,10.768,2009,10.642,0
85350,2008,10.748,2009,10.682,0
85390,2008,12.124,2009,12.117,0
85733,2008,13.692,2009,13.922,0.23
84968,2008,15.05,2009,14.927,0
85136,2008,17.171,2009,17.239,0.068
85190,2008,23.309,2009,27.998,4.689
85199,2008,25.195,2009,26.438,1.243
85453,2008,7.645,2009,7.484,0
84854,2008,7.297,2009,7.297,0
85644,2008,7.086,2009,7.068,0
85055,2008,7.638,2009,7.7,0.062
85037,2008,7.49,2009,7.812,0.322
85757,2008,8.122,2009,8.352,0.23
85711,2008,9.041,2009,9.079,0.038
85062,2008,7.632,2009,7.459,0
85645,2008,8.303,2009,8.346,0.043
85556,2008,9.727,2009,14.496,4.769
85307,2008,10.296,2009,10.628,0.332
85508,2008,9.509,2009,9.414,0
85457,2008,9.996,2009,10.263,0.267
85636,2008,10.328,2009,12.572,2.244
85534,2008,9.458,2009,12.669,3.211
85585,2008,8.978,2009,9.047,0.069
85456,2008,9.771,2009,16.649,6.878
85602,2008,9.99,2009,9.99,0
84864,2008,10.087,2009,10.133,0.046
