ID,Survey,S,Survey_2,S_2,Dist
85616,2006,1.18,2007,1.118,0
85571,2006,0.273,2007,0.653,0.38
85553,2006,0.769,2007,1.064,0.295
85550,2006,1.261,2007,1.306,0.045
85558,2006,1.754,2007,2.518,0.764
85293,2006,0.351,2007,0.38,0.029
85543,2006,0.847,2007,2.111,1.264
85540,2006,1.835,2007,2.723,0.888
85603,2006,0.526,2007,0.75,0.224
85559,2006,0.925,2007,0.916,0
30656,2006,1.718,2007,2.659,0.941
85600,2006,1.929,2007,3.248,1.319
85555,2006,0.506,2007,5.752,5.246
85570,2006,1.019,2007,22.881,21.862
85604,2006,1.306,2007,1.019,0
85560,2006,2.003,2007,1.799,0
85538,2006,0.584,2007,0.604,0.02
85590,2006,1.082,2007,4.395,3.313
85554,2006,1.584,2007,1.879,0.295
85588,2006,2.086,2007,3.486,1.4
85569,2006,0.672,2007,11.067,10.395
85707,2006,1.171,2007,12.746,11.575
85703,2006,1.664,2007,19.188,17.524
85599,2006,2.161,2007,14.455,12.294
85631,2006,0.75,2007,19.59,18.84
85546,2006,1.252,2007,42.234,40.982
85621,2006,1.799,2007,22.377,20.578
85547,2006,2.244,2007,7.731,5.487
85747,2006,0.828,2007,48.514,47.686
85622,2006,1.835,2007,15.395,13.56
85598,2006,2.327,2007,8.978,6.651
85544,2006,0.916,2007,21.956,21.04
85626,2006,1.413,2007,9.893,8.48
85610,2006,1.92,2007,2.028,0.108
85710,2006,2.41,2007,20.771,18.361
85650,2006,1.001,2007,2.901,1.9
85594,2006,1.512,2007,12.173,10.661
85654,2006,2.02,2007,20.771,18.751
85634,2006,2.493,2007,20.976,18.483
85645,2006,1.082,2007,1.109,0.027
85615,2006,1.575,2007,8.745,7.17
85565,2006,2.078,2007,28.272,26.194
85734,2006,2.576,2007,9.388,6.812
85611,2006,1.162,2007,4.902,3.74
85652,2006,1.656,2007,3.248,1.592
85573,2006,2.161,2007,2.186,0.025
85638,2006,2.459,2007,2.327,0
85568,2006,1.243,2007,1.153,0
85629,2006,1.745,2007,1.727,0
85578,2006,2.244,2007,2.211,0
85639,2006,2.754,2007,2.683,0
85660,2006,1.324,2007,1.315,0
85576,2006,1.826,2007,1.709,0
85647,2006,2.327,2007,2.219,0
85745,2006,2.839,2007,2.675,0
85613,2006,1.404,2007,1.413,0.009
85713,2006,1.92,2007,1.79,0
85623,2006,2.41,2007,2.459,0.049
85649,2006,2.916,2007,2.754,0
85630,2006,1.995,2007,1.808,0
85620,2006,2.551,2007,2.343,0
85750,2006,3.001,2007,2.754,0
85708,2006,2.078,2007,1.987,0
85695,2006,3.078,2007,2.939,0
85541,2006,2.385,2007,11.08,8.695
85657,2006,2.877,2007,2.451,0
85612,2006,3.863,2007,3.797,0
85577,2006,2.97,2007,2.893,0
85609,2006,3.464,2007,6.638,3.174
85627,2006,3.949,2007,4.13,0.181
85593,2006,2.559,2007,17.814,15.255
85725,2006,3.055,2007,6.033,2.978
85641,2006,3.559,2007,16.914,13.355
85632,2006,4.094,2007,17.737,13.643
85663,2006,2.659,2007,5.892,3.233
85659,2006,3.148,2007,7.632,4.484
85637,2006,4.138,2007,7.086,2.948
85719,2006,2.754,2007,33.795,31.041
85618,2006,3.24,2007,9.535,6.295
85575,2006,3.732,2007,12.262,8.53
85739,2006,4.237,2007,8.965,4.728
85722,2006,2.839,2007,5.739,2.9
85729,2006,3.333,2007,17.766,14.433
85702,2006,3.826,2007,13.72,9.894
85709,2006,4.326,2007,5.867,1.541
85673,2006,2.931,2007,2.908,0
85697,2006,3.425,2007,3.248,0
85748,2006,3.921,2007,9.192,5.271
85408,2006,4.415,2007,16.259,11.844
85699,2006,3.522,2007,3.271,0
85592,2006,4.007,2007,9.535,5.528
85718,2006,4.505,2007,42.234,37.729
85601,2006,3.109,2007,10.741,7.632
85636,2006,3.609,2007,3.387,0
85753,2006,4.102,2007,3.855,0
85712,2006,4.594,2007,7.198,2.604
85743,2006,3.202,2007,2.908,0
85704,2006,3.703,2007,3.24,0
85646,2006,4.196,2007,3.949,0
85752,2006,4.683,2007,4.457,0
85717,2006,3.294,2007,3.009,0
85694,2006,4.292,2007,3.913,0
85723,2006,4.772,2007,4.402,0
85536,2006,3.387,2007,3.117,0
84946,2006,3.884,2007,3.544,0
84948,2006,4.381,2007,4.058,0
84936,2006,4.862,2007,4.457,0
84922,2006,3.486,2007,3.232,0
84947,2006,3.978,2007,3.624,0
85064,2006,4.955,2007,4.662,0
84934,2006,4.559,2007,4.285,0
84930,2006,5.04,2007,4.738,0
84903,2006,5.073,2007,4.566,0
84885,2006,5.579,2007,5.238,0
84891,2006,6.084,2007,6.001,0
84920,2006,4.711,2007,7.291,2.58
84864,2006,5.205,2007,8.464,3.259
85021,2006,6.211,2007,17.104,10.893
84897,2006,4.8,2007,6.794,1.994
84893,2006,5.784,2007,8.147,2.363
84836,2006,6.286,2007,5.95,0
84911,2006,4.882,2007,6.45,1.568
84935,2006,5.369,2007,8.078,2.709
84925,2006,5.867,2007,5.7,0
84927,2006,4.968,2007,8.377,3.409
84915,2006,5.455,2007,8.408,2.953
84916,2006,5.937,2007,6.058,0.121
84945,2006,6.424,2007,6.962,0.538
84901,2006,5.053,2007,5.732,0.679
84980,2006,6.493,2007,6.406,0
84928,2006,5.132,2007,24.208,19.076
84890,2006,5.617,2007,5.649,0.032
84902,2006,6.09,2007,10.081,3.991
84942,2006,6.556,2007,8.004,1.448
84932,2006,5.211,2007,21.895,16.684
85070,2006,5.694,2007,5.656,0
84913,2006,6.161,2007,16.094,9.933
85060,2006,6.619,2007,10.478,3.859
84894,2006,5.29,2007,13.156,7.866
84898,2006,5.771,2007,5.822,0.051
85055,2006,6.682,2007,6.763,0.081
84904,2006,5.369,2007,8.041,2.672
85050,2006,5.841,2007,6.581,0.74
84912,2006,6.286,2007,6.305,0.019
84961,2006,6.738,2007,6.838,0.1
84974,2006,5.448,2007,5.475,0.027
84867,2006,5.911,2007,6.078,0.167
85019,2006,6.362,2007,6.519,0.157
85068,2006,6.794,2007,6.875,0.081
85007,2006,5.527,2007,5.579,0.052
84967,2006,5.982,2007,6.148,0.166
84908,2006,6.424,2007,6.594,0.17
84854,2006,6.857,2007,7.31,0.453
84977,2006,5.611,2007,5.758,0.147
84910,2006,6.052,2007,6.161,0.109
85063,2006,6.487,2007,6.937,0.45
