ID,Survey,S,Survey_2,S_2,Dist
30656,2012,281.11,2013,281.067,0
30695,2012,227.016,2013,226.908,0
84812,2012,398.832,2013,397.72,0
84818,2012,44.013,2013,43.19,0
84820,2012,374.772,2013,413.425,38.653
84821,2012,391.72,2013,391.038,0
84822,2012,487.87,2013,487.464,0
84826,2012,283.914,2013,283.814,0
84827,2012,279.085,2013,279.394,0.309
84828,2012,189.419,2013,192.345,2.926
84831,2012,364.532,2013,363.924,0
84833,2012,79.473,2013,78.822,0
84835,2012,206.251,2013,206.481,0.23
84836,2012,287.503,2013,287.386,0
84842,2012,289.614,2013,289.758,0.144
84844,2012,396.092,2013,395.608,0
84847,2012,210.009,2013,208.033,0
84848,2012,252.321,2013,263.172,10.851
84849,2012,186.266,2013,186.929,0.663
84854,2012,227.883,2013,228.486,0.603
84860,2012,457.887,2013,458.172,0.285
84861,2012,480.649,2013,480.431,0
84862,2012,486.259,2013,486.584,0.325
84864,2012,213.424,2013,239.341,25.917
84867,2012,209.678,2013,210.8,1.122
84870,2012,187.03,2013,187.144,0.114
84872,2012,328.752,2013,349.009,20.257
84873,2012,227.933,2013,227.601,0
84874,2012,289.581,2013,289.625,0.044
84880,2012,218.924,2013,223.204,4.28
84881,2012,335.695,2013,367.834,32.139
84884,2012,218.7,2013,220.064,1.364
84885,2012,105.344,2013,109.795,4.451
84892,2012,204.661,2013,207.291,2.63
84893,2012,357.241,2013,357.802,0.561
84894,2012,224.312,2013,224.379,0.067
84897,2012,176.214,2013,176.299,0.085
84898,2012,191.81,2013,192.03,0.22
84901,2012,393.218,2013,400.928,7.71
84902,2012,324.935,2013,327.915,2.98
84904,2012,223.604,2013,223.669,0.065
84905,2012,287.571,2013,287.669,0.098
84908,2012,217.158,2013,217.807,0.649
84910,2012,221.473,2013,221.657,0.184
84911,2012,322.059,2013,333.874,11.815
84912,2012,184.596,2013,185.226,0.63
84913,2012,206.261,2013,205.723,0
84915,2012,378.075,2013,378.097,0.022
84916,2012,270.262,2013,270.393,0.131
84917,2012,46.751,2013,46.523,0
84920,2012,218.156,2013,219.11,0.954
84921,2012,418.556,2013,419.946,1.39
84922,2012,188.193,2013,188.205,0.012
84924,2012,225.448,2013,225.54,0.092
84925,2012,220.953,2013,221.238,0.285
84926,2012,488.764,2013,489.847,1.083
84927,2012,254.007,2013,254.34,0.333
84928,2012,177.833,2013,178.165,0.332
84930,2012,29.058,2013,28.783,0
84931,2012,180.951,2013,181.062,0.111
84932,2012,187.855,2013,187.88,0.025
84934,2012,148.881,2013,149.37,0.489
84935,2012,280.158,2013,280.158,0
84936,2012,279.325,2013,280.331,1.006
84942,2012,223.474,2013,222.759,0
84945,2012,429.262,2013,429.394,0.132
84946,2012,434.682,2013,464.052,29.37
84947,2012,48.22,2013,47.8,0
84948,2012,187.639,2013,187.88,0.241
84951,2012,192.991,2013,192.597,0
84955,2012,232.609,2013,232.28,0
84956,2012,389.833,2013,389.977,0.144
84957,2012,350.335,2013,351.368,1.033
84958,2012,204.156,2013,210.46,6.304
84959,2012,33.439,2013,33.584,0.145
84962,2012,185.613,2013,186.773,1.16
84963,2012,316.749,2013,319.818,3.069
84964,2012,225.274,2013,225.332,0.058
84965,2012,212.355,2013,212.236,0
84966,2012,200.958,2013,200.775,0
84967,2012,188.033,2013,188.071,0.038
84970,2012,139.617,2013,140.51,0.893
84971,2012,197.699,2013,197.181,0
84972,2012,530.838,2013,531.102,0.264
84974,2012,428.665,2013,453.967,25.302
84975,2012,202.645,2013,203.094,0.449
84979,2012,277.312,2013,304.466,27.154
84980,2012,174.884,2013,176.606,1.722
84981,2012,222.046,2013,222.035,0
84982,2012,206.751,2013,206.841,0.09
84984,2012,412.528,2013,413.726,1.198
84985,2012,25.482,2013,26.282,0.8
84987,2012,398.684,2013,399.392,0.708
84988,2012,192.334,2013,208.093,15.759
84991,2012,280.689,2013,280.689,0
84992,2012,259.262,2013,258.492,0
84996,2012,63.602,2013,62.995,0
84997,2012,103.735,2013,103.701,0
84999,2012,398.178,2013,399.738,1.56
85001,2012,285.37,2013,285.227,0
85003,2012,221.401,2013,220.663,0
85005,2012,254.509,2013,254.694,0.185
85007,2012,477.876,2013,484.959,7.083
85008,2012,23.43,2013,23.389,0
85009,2012,32.104,2013,32.091,0
85011,2012,287.269,2013,288.124,0.855
85013,2012,7.287,2013,7.23,0
85014,2012,468.368,2013,533.655,65.287
85017,2012,222.517,2013,221.646,0
85019,2012,509.116,2013,508.413,0
85020,2012,214.837,2013,221.391,6.554
85021,2012,151.482,2013,160.675,9.193
85024,2012,247.249,2013,247.012,0
85028,2012,326.292,2013,332.83,6.538
85031,2012,278.541,2013,278.528,0
85034,2012,316.151,2013,327.065,10.914
85037,2012,72.944,2013,73.01,0.066
85046,2012,24.504,2013,24.39,0
85050,2012,400.183,2013,399.606,0
85052,2012,379.629,2013,380.838,1.209
85055,2012,133.056,2013,133.056,0
85058,2012,198.019,2013,211.09,13.071
85058,2012,198.019,2013,210.9,12.881
85062,2012,111.528,2013,110.849,0
85063,2012,22.822,2013,22.765,0
85064,2012,45.099,2013,45.654,0.555
85067,2012,26.686,2013,26.647,0
85069,2012,186.72,2013,186.706,0
85070,2012,279.764,2013,282.548,2.784
85073,2012,487.708,2013,488.358,0.65
85074,2012,189.453,2013,196.304,6.851
85075,2012,227.147,2013,228.228,1.081
85077,2012,218.817,2013,218.593,0
85079,2012,225.944,2013,226.502,0.558
85083,2012,212.504,2013,212.107,0
85085,2012,189.384,2013,189.522,0.138
85086,2012,51.329,2013,51.487,0.158
85089,2012,39.857,2013,40.154,0.297
85090,2012,502.676,2013,502.291,0
85092,2012,190.016,2013,188.531,0
85093,2012,245.956,2013,246.439,0.483
85094,2012,218.457,2013,218.642,0.185
85095,2012,47.118,2013,49.291,2.173
85097,2012,212.355,2013,212.117,0
85099,2012,191.726,2013,191.852,0.126
85101,2012,487.235,2013,490.356,3.121
85103,2012,204.849,2013,204.78,0
85106,2012,192.513,2013,193.253,0.74
85107,2012,288.218,2013,288.207,0
85108,2012,60.521,2013,60.317,0
85109,2012,188.109,2013,188.229,0.12
85110,2012,276.498,2013,276.484,0
85112,2012,121.166,2013,120.847,0
85114,2012,433.008,2013,432.832,0
85116,2012,340.841,2013,341.996,1.155
85118,2012,319.801,2013,328.386,8.585
85120,2012,473.472,2013,473.61,0.138
85121,2012,398.635,2013,397.363,0
85125,2012,186.733,2013,186.159,0
85126,2012,395.798,2013,395.781,0
85127,2012,209.929,2013,210.059,0.13
85128,2012,432.059,2013,443.753,11.694
85130,2012,211.1,2013,211.21,0.11
85132,2012,414.235,2013,415.393,1.158
85133,2012,98.981,2013,99.566,0.585
85134,2012,277.945,2013,280.007,2.062
85136,2012,27.909,2013,27.61,0
85138,2012,178.511,2013,180.569,2.058
85139,2012,164.629,2013,164.629,0
85140,2012,215.042,2013,229.804,14.762
85141,2012,189.821,2013,189.958,0.137
85142,2012,89.706,2013,90.341,0.635
85143,2012,429.792,2013,431.461,1.669
85144,2012,224.29,2013,224.67,0.38
85145,2012,280.354,2013,280.215,0
85147,2012,352.42,2013,351.772,0
85148,2012,212.097,2013,211.679,0
85149,2012,147.999,2013,148.303,0.304
85150,2012,283.531,2013,282.422,0
85151,2012,383.64,2013,382.491,0
85153,2012,86.525,2013,91.716,5.191
85155,2012,289.006,2013,289.006,0
85156,2012,230.818,2013,229.02,0
85157,2012,185.693,2013,185.733,0.04
85167,2012,329.756,2013,329.316,0
85168,2012,399.376,2013,459.313,59.937
85169,2012,398.059,2013,397.924,0
85170,2012,185.639,2013,185.946,0.307
85171,2012,38.513,2013,38.802,0.289
85174,2012,393.2,2013,391.825,0
85176,2012,226.848,2013,226.896,0.048
85177,2012,212.286,2013,212.435,0.149
85178,2012,119.605,2013,118.595,0
85179,2012,253.724,2013,254.232,0.508
85181,2012,179.006,2013,180.41,1.404
85183,2012,396.196,2013,395.712,0
85184,2012,226.326,2013,226.233,0
85185,2012,192.429,2013,193.092,0.663
85190,2012,211.998,2013,212.187,0.189
85191,2012,140.527,2013,139.978,0
85192,2012,418.829,2013,478.462,59.633
85193,2012,220.873,2013,221.218,0.345
85194,2012,174.884,2013,179.237,4.353
85196,2012,58.33,2013,58.399,0.069
85199,2012,204.938,2013,212.514,7.576
85201,2012,188.121,2013,188.29,0.169
85203,2012,225.887,2013,225.184,0
85204,2012,285.892,2013,285.838,0
85206,2012,50.942,2013,50.678,0
85207,2012,394.163,2013,393.656,0
85208,2012,532.828,2013,533.849,1.021
85211,2012,220.074,2013,219.729,0
85213,2012,384.071,2013,398.263,14.192
85215,2012,257.388,2013,265.654,8.266
85217,2012,483.389,2013,492.353,8.964
85219,2012,164.458,2013,165.785,1.327
85221,2012,66.961,2013,67.508,0.547
85222,2012,187.474,2013,186.626,0
85224,2012,342.591,2013,351.995,9.404
85226,2012,184.638,2013,184.708,0.07
85229,2012,182.518,2013,182.549,0.031
85230,2012,345.112,2013,366.046,20.934
85232,2012,223.355,2013,223.312,0
85233,2012,203.733,2013,226.55,22.817
85235,2012,379.564,2013,394.826,15.262
85236,2012,282.12,2013,281.646,0
